,submit_time,duration,cpu,memory,job_id,task_id,instances_num,disk,priority
0,132224,9618,1,0,7492833,7492833,1,0,4
1,13873,17062,1,0,3108486,3108486,1,0,4
2,235288,16904,1,0,8710406,8710406,1,0,1
3,168672,10359,1,0,589853,589853,1,0,5
4,99109,17196,1,0,2424358,2424358,1,0,4
5,529790,7017,1,0,8051126,8051126,1,0,3
6,247015,7415,1,0,9397750,9397750,1,0,3
7,24387,12570,1,0,5889784,5889784,1,0,4
8,271847,7198,1,0,3094393,3094393,1,0,2
9,339549,11960,1,0,3972788,3972788,1,0,4
10,212016,17377,1,0,2196498,2196498,1,0,4
11,244698,6724,1,0,9032726,9032726,1,0,1
12,586799,9031,1,0,9217848,9217848,1,0,1
13,337364,12281,1,0,9580038,9580038,1,0,1
14,88848,7692,1,0,2647140,2647140,1,0,2
15,319782,5718,1,0,9062099,9062099,1,0,2
16,38291,13058,1,0,9315037,9315037,1,0,4
17,229463,11812,1,0,6939784,6939784,1,0,5
18,153797,7384,1,0,7377105,7377105,1,0,5
19,473677,10851,1,0,8879689,8879689,1,0,4
20,561592,14465,1,0,4877108,4877108,1,0,3
21,593037,10578,1,0,6239396,6239396,1,0,4
22,511591,7262,1,0,2442152,2442152,1,0,4
23,547308,15647,1,0,1960517,1960517,1,0,5
24,125213,8057,1,0,978691,978691,1,0,1
25,409638,9462,1,0,7221676,7221676,1,0,4
26,227076,10227,1,0,5591510,5591510,1,0,1
27,40983,13475,1,0,5179023,5179023,1,0,1
28,318236,18303,1,0,8764450,8764450,1,0,1
29,401384,9127,1,0,1717560,1717560,1,0,3
30,418887,10379,1,0,6014556,6014556,1,0,4
31,241513,18780,1,0,6276573,6276573,1,0,2
32,313037,7691,1,0,5845201,5845201,1,0,1
33,160087,7801,1,0,4160436,4160436,1,0,2
34,224161,11385,1,0,3393656,3393656,1,0,3
35,552524,13488,1,0,7852848,7852848,1,0,3
36,521402,4926,1,0,1050359,1050359,1,0,3
37,213153,14466,1,0,3236677,3236677,1,0,2
38,50280,13934,1,0,9615870,9615870,1,0,4
39,254128,16383,1,0,2510838,2510838,1,0,3
40,381479,14576,1,0,9585670,9585670,1,0,3
41,161566,9364,1,0,789173,789173,1,0,4
42,356276,12485,1,0,8969664,8969664,1,0,1
43,190317,12605,1,0,9398437,9398437,1,0,2
44,173735,13209,1,0,3269735,3269735,1,0,4
45,46241,15150,1,0,4818038,4818038,1,0,3
46,413964,13470,1,0,4058347,4058347,1,0,5
47,51602,11490,1,0,5296731,5296731,1,0,3
