,submit_time,duration,cpu,memory,job_id,task_id,instances_num,disk,priority
0,499445,15651,1,0,7113973,7113973,1,0,1
1,445566,12122,1,0,6489410,6489410,1,0,1
2,114731,4652,1,0,1323646,1323646,1,0,1
3,542820,10137,1,0,5501230,5501230,1,0,1
4,121706,17136,1,0,4858520,4858520,1,0,1
5,368721,12407,1,0,409854,409854,1,0,1
6,333319,19420,1,0,9675096,9675096,1,0,1
7,136972,17295,1,0,6320496,6320496,1,0,1
8,78506,16203,1,0,1157436,1157436,1,0,1
9,31763,15253,1,0,1529172,1529172,1,0,1
10,181285,18052,1,0,7413597,7413597,1,0,1
11,454746,17778,1,0,5160460,5160460,1,0,1
12,268248,8426,1,0,7781214,7781214,1,0,1
13,600412,17580,1,0,6903392,6903392,1,0,1
14,259926,11051,1,0,8044114,8044114,1,0,1
15,269173,8631,1,0,1023872,1023872,1,0,1
16,320072,10368,1,0,252208,252208,1,0,1
17,275634,8229,1,0,86466,86466,1,0,1
18,327935,5187,1,0,5244121,5244121,1,0,1
19,242312,18840,1,0,6759076,6759076,1,0,1
20,147952,13082,1,0,1139679,1139679,1,0,1
21,77159,12804,1,0,2674550,2674550,1,0,1
22,238286,12681,1,0,3596407,3596407,1,0,1
23,80344,18125,1,0,3545525,3545525,1,0,1
24,382622,16724,1,0,6940335,6940335,1,0,1
25,455888,8134,1,0,9995011,9995011,1,0,1
26,433776,17456,1,0,9710067,9710067,1,0,1
27,150287,8613,1,0,1953766,1953766,1,0,1
28,215427,7847,1,0,3247310,3247310,1,0,1
29,467065,7297,1,0,9796890,9796890,1,0,1
30,436311,11849,1,0,2064064,2064064,1,0,1
31,555124,6460,1,0,506793,506793,1,0,1
32,334994,16812,1,0,5451064,5451064,1,0,1
33,400821,8066,1,0,8004118,8004118,1,0,1
34,408628,14068,1,0,9988553,9988553,1,0,1
35,564832,14288,1,0,6292159,6292159,1,0,1
36,326141,13001,1,0,1009796,1009796,1,0,1
37,189698,11368,1,0,5571658,5571658,1,0,1
38,591216,12813,1,0,4409564,4409564,1,0,1
39,82497,10449,1,0,5323506,5323506,1,0,1
40,14871,8440,1,0,1699272,1699272,1,0,1
41,119105,12935,1,0,7459481,7459481,1,0,1
42,164610,10360,1,0,9428951,9428951,1,0,1
43,506146,13598,1,0,1365458,1365458,1,0,1
44,27727,16637,1,0,7604442,7604442,1,0,1
45,576969,17854,1,0,7959723,7959723,1,0,1
46,436755,14445,1,0,7085583,7085583,1,0,1
47,187506,16151,1,0,4258164,4258164,1,0,1
48,156722,16867,1,0,8580285,8580285,1,0,1
49,283656,9673,1,0,4450214,4450214,1,0,1
50,393567,14592,1,0,7306130,7306130,1,0,1
51,389273,13001,1,0,2902630,2902630,1,0,1
52,21199,14332,1,0,7851537,7851537,1,0,1
53,41683,12418,1,0,3030331,3030331,1,0,1
54,520290,19297,1,0,112300,112300,1,0,1
55,532920,14346,1,0,7435304,7435304,1,0,1
56,48931,11789,1,0,4294640,4294640,1,0,1
57,176365,9520,1,0,4325240,4325240,1,0,1
58,258423,7311,1,0,40546,40546,1,0,1
59,93666,11714,1,0,4679782,4679782,1,0,1
60,137113,12402,1,0,4373087,4373087,1,0,1
61,179557,14067,1,0,192685,192685,1,0,1
62,397382,12179,1,0,2797661,2797661,1,0,1
63,486809,11896,1,0,7152202,7152202,1,0,1
64,40079,13733,1,0,1293618,1293618,1,0,1
