,submit_time,duration,cpu,memory,job_id,task_id,instances_num,disk,priority
0,300919,28973,1,0,656174,656174,1,0,5
1,31496,23821,1,0,2188534,2188534,1,0,5
2,434659,29015,1,0,5492873,5492873,1,0,5
3,361423,15560,1,0,6760227,6760227,1,0,5
4,483197,23842,1,0,6345875,6345875,1,0,5
5,408721,26045,1,0,4885658,4885658,1,0,5
6,375069,22261,1,0,7118446,7118446,1,0,5
7,398250,26056,1,0,4618574,4618574,1,0,5
8,520365,23712,1,0,5736996,5736996,1,0,5
9,379878,29846,1,0,3869935,3869935,1,0,5
10,409505,23041,1,0,6542699,6542699,1,0,5
11,514808,18311,1,0,1416391,1416391,1,0,5
12,271696,19656,1,0,7287543,7287543,1,0,5
13,316276,22311,1,0,4402457,4402457,1,0,5
14,558620,22264,1,0,3122367,3122367,1,0,5
15,236126,22318,1,0,5539741,5539741,1,0,5
16,254858,26444,1,0,2511802,2511802,1,0,5
17,78182,19958,1,0,5707064,5707064,1,0,5
18,261026,17012,1,0,1535066,1535066,1,0,5
19,434548,16326,1,0,4386605,4386605,1,0,5
20,380386,15286,1,0,5520514,5520514,1,0,5
21,152825,34311,1,0,7770819,7770819,1,0,5
22,110438,22035,1,0,4758688,4758688,1,0,5
23,14514,14945,1,0,8910160,8910160,1,0,5
24,464429,24206,1,0,4179594,4179594,1,0,5
25,415198,32015,1,0,748259,748259,1,0,5
26,27137,24935,1,0,8803589,8803589,1,0,5
27,222218,24874,1,0,1101076,1101076,1,0,5
28,63489,34482,1,0,8338962,8338962,1,0,5
29,62758,18775,1,0,5878034,5878034,1,0,5
30,347403,24560,1,0,7542964,7542964,1,0,5
31,395596,26689,1,0,1693232,1693232,1,0,5
32,96467,19563,1,0,9241109,9241109,1,0,5
33,220634,18018,1,0,5336316,5336316,1,0,5
34,115898,20729,1,0,677744,677744,1,0,5
35,412525,10629,1,0,5565444,5565444,1,0,5
36,495850,15128,1,0,211821,211821,1,0,5
37,483609,17317,1,0,8137459,8137459,1,0,5
38,116419,18674,1,0,4404839,4404839,1,0,5
39,178060,28305,1,0,7796827,7796827,1,0,5
40,345712,21249,1,0,9725393,9725393,1,0,5
41,78700,19029,1,0,5093215,5093215,1,0,5
42,584140,16229,1,0,3824883,3824883,1,0,5
43,245977,20032,1,0,5765071,5765071,1,0,5
44,230013,27728,1,0,9071239,9071239,1,0,5
45,68818,31319,1,0,351958,351958,1,0,5
46,296068,21543,1,0,3835353,3835353,1,0,5
47,324335,23724,1,0,736823,736823,1,0,5
48,64501,26721,1,0,8524627,8524627,1,0,5
49,248028,28382,1,0,2755638,2755638,1,0,5
50,346036,20810,1,0,5433726,5433726,1,0,5
51,189869,33916,1,0,3114508,3114508,1,0,5
52,405735,26068,1,0,1747039,1747039,1,0,5
53,456918,26733,1,0,599256,599256,1,0,5
54,583460,26051,1,0,8958774,8958774,1,0,5
55,66748,23288,1,0,222947,222947,1,0,5
56,377997,33856,1,0,4524279,4524279,1,0,5
57,321087,22004,1,0,6669006,6669006,1,0,5
58,411000,23233,1,0,1427563,1427563,1,0,5
59,191055,22904,1,0,847477,847477,1,0,5
60,317386,30834,1,0,4728760,4728760,1,0,5
61,57572,22108,1,0,7072949,7072949,1,0,5
62,305728,22526,1,0,6945434,6945434,1,0,5
63,91285,25413,1,0,3628514,3628514,1,0,5
64,220014,14595,1,0,6748616,6748616,1,0,5
65,271750,26602,1,0,3730388,3730388,1,0,5
66,107375,15257,1,0,3054564,3054564,1,0,5
67,124943,17231,1,0,3984191,3984191,1,0,5
68,199816,21834,1,0,6453985,6453985,1,0,5
69,462854,35553,1,0,449678,449678,1,0,5
70,7845,15450,1,0,8499815,8499815,1,0,5
71,218473,28821,1,0,9947767,9947767,1,0,5
72,95397,24336,1,0,8637650,8637650,1,0,5
73,512210,26942,1,0,869823,869823,1,0,5
74,539528,19665,1,0,8206050,8206050,1,0,5
75,550791,32896,1,0,822231,822231,1,0,5
76,235420,15409,1,0,9458139,9458139,1,0,5
77,595487,21239,1,0,7798091,7798091,1,0,5
78,555509,28431,1,0,4846509,4846509,1,0,5
79,120113,29827,1,0,3147784,3147784,1,0,5
80,91618,20929,1,0,5657947,5657947,1,0,5
81,367775,30873,1,0,5768621,5768621,1,0,5
82,302563,27490,1,0,1520102,1520102,1,0,5
83,586143,30056,1,0,2394862,2394862,1,0,5
84,83815,24735,1,0,5886569,5886569,1,0,5
85,521914,22345,1,0,6655003,6655003,1,0,5
86,102084,20087,1,0,1427072,1427072,1,0,5
87,591787,20480,1,0,4917926,4917926,1,0,5
88,139067,8517,1,0,7733985,7733985,1,0,5
89,443419,23071,1,0,1243194,1243194,1,0,5
90,295705,23222,1,0,8663047,8663047,1,0,5
91,500662,26727,1,0,6851348,6851348,1,0,5
92,450866,26805,1,0,1827060,1827060,1,0,5
93,223443,17554,1,0,6274983,6274983,1,0,5
94,117148,28188,1,0,2421219,2421219,1,0,5
95,105149,21471,1,0,8840040,8840040,1,0,5
96,123580,34199,1,0,1102412,1102412,1,0,5
97,293535,24437,1,0,6704271,6704271,1,0,5
98,515569,32719,1,0,8431143,8431143,1,0,5
99,439161,21364,1,0,353365,353365,1,0,5
100,456874,23829,1,0,7964989,7964989,1,0,5
101,362009,23333,1,0,7884054,7884054,1,0,5
102,192710,22412,1,0,9530348,9530348,1,0,5
103,379577,38561,1,0,484274,484274,1,0,5
104,179458,31954,1,0,3178881,3178881,1,0,5
105,541875,32491,1,0,3003538,3003538,1,0,5
106,384806,30742,1,0,4612677,4612677,1,0,5
107,55128,23344,1,0,4180566,4180566,1,0,5
108,399972,18434,1,0,1872989,1872989,1,0,5
109,236760,16708,1,0,1842220,1842220,1,0,5
110,270611,28405,1,0,5142946,5142946,1,0,5
111,278873,36138,1,0,2732087,2732087,1,0,5
112,569824,20281,1,0,7945779,7945779,1,0,5
113,302048,20926,1,0,8240661,8240661,1,0,5
114,475915,16717,1,0,4124208,4124208,1,0,5
115,288161,21494,1,0,6723514,6723514,1,0,5
116,456637,23577,1,0,9955772,9955772,1,0,5
117,487084,18436,1,0,6781513,6781513,1,0,5
118,255238,23320,1,0,4681432,4681432,1,0,5
119,36626,19383,1,0,9732375,9732375,1,0,5
120,3808,27333,1,0,9809524,9809524,1,0,5
121,18728,21663,1,0,1981149,1981149,1,0,5
122,153892,29475,1,0,9226341,9226341,1,0,5
123,403233,13762,1,0,5526233,5526233,1,0,5
124,43266,29153,1,0,6665359,6665359,1,0,5
125,100422,25941,1,0,4715894,4715894,1,0,5
126,417404,19370,1,0,5654679,5654679,1,0,5
127,587436,18658,1,0,3809200,3809200,1,0,5
128,292098,38358,1,0,4811778,4811778,1,0,5
129,91091,19851,1,0,7590062,7590062,1,0,5
130,270397,15191,1,0,7167392,7167392,1,0,5
131,597971,21482,1,0,435778,435778,1,0,5
132,359397,23514,1,0,8995844,8995844,1,0,5
133,148701,17924,1,0,2897026,2897026,1,0,5
134,110867,14939,1,0,5118491,5118491,1,0,5
135,494269,19213,1,0,5109965,5109965,1,0,5
