,submit_time,duration,cpu,memory,job_id,task_id,instances_num,disk,priority
0,57423,8097,1,0,7112430,7112430,1,0,1
1,277163,15121,1,0,7689582,7689582,1,0,1
2,537262,14817,1,0,6540353,6540353,1,0,1
3,392362,12861,1,0,5044329,5044329,1,0,1
4,58959,17368,1,0,6503720,6503720,1,0,1
5,74971,7932,1,0,601392,601392,1,0,1
6,8275,6388,1,0,861064,861064,1,0,1
7,447047,9280,1,0,8800636,8800636,1,0,1
8,83671,6621,1,0,3955815,3955815,1,0,1
9,339873,15263,1,0,6448775,6448775,1,0,1
10,505914,9696,1,0,2040896,2040896,1,0,1
11,257341,9890,1,0,5459126,5459126,1,0,1
12,314175,18309,1,0,626384,626384,1,0,1
13,250428,11056,1,0,1037539,1037539,1,0,1
14,242713,16668,1,0,8693695,8693695,1,0,1
15,534913,7208,1,0,7301291,7301291,1,0,1
16,447352,9881,1,0,8295829,8295829,1,0,1
17,400831,8616,1,0,9490889,9490889,1,0,1
18,393544,15424,1,0,8146315,8146315,1,0,1
19,148678,14945,1,0,2999000,2999000,1,0,1
20,489784,7407,1,0,3225539,3225539,1,0,1
21,277316,9976,1,0,1618222,1618222,1,0,1
22,408822,17609,1,0,4700202,4700202,1,0,1
23,3284,18650,1,0,3271269,3271269,1,0,1
24,574074,15743,1,0,1433583,1433583,1,0,1
25,377427,13832,1,0,6006394,6006394,1,0,1
26,119802,7119,1,0,8953520,8953520,1,0,1
27,240098,14383,1,0,8641186,8641186,1,0,1
28,101175,12701,1,0,4798565,4798565,1,0,1
29,108137,10242,1,0,7621200,7621200,1,0,1
30,279513,16633,1,0,5850025,5850025,1,0,1
31,335714,12867,1,0,6996865,6996865,1,0,1
32,29654,4795,1,0,8904561,8904561,1,0,1
33,153913,15487,1,0,2892694,2892694,1,0,1
34,79516,11565,1,0,3222597,3222597,1,0,1
35,603259,15152,1,0,7000768,7000768,1,0,1
36,480811,12168,1,0,3005212,3005212,1,0,1
37,17978,11894,1,0,7168374,7168374,1,0,1
38,127666,7193,1,0,6059734,6059734,1,0,1
39,472124,14056,1,0,7966352,7966352,1,0,1
40,369574,7768,1,0,1779291,1779291,1,0,1
41,196373,11985,1,0,5903418,5903418,1,0,1
42,413985,13685,1,0,4380157,4380157,1,0,1
43,85976,10505,1,0,8107481,8107481,1,0,1
44,210582,11667,1,0,6812249,6812249,1,0,1
45,341159,13096,1,0,8143687,8143687,1,0,1
46,85062,16002,1,0,7265357,7265357,1,0,1
47,521314,12019,1,0,3558835,3558835,1,0,1
48,21588,8105,1,0,5617876,5617876,1,0,1
49,594767,11198,1,0,3218319,3218319,1,0,1
50,160528,13009,1,0,4660430,4660430,1,0,1
51,426470,9113,1,0,7417106,7417106,1,0,1
52,311139,8412,1,0,8899390,8899390,1,0,1
53,487830,10277,1,0,9400416,9400416,1,0,1
54,306117,11671,1,0,3757469,3757469,1,0,1
55,71308,15696,1,0,3513683,3513683,1,0,1
56,421303,15599,1,0,8508950,8508950,1,0,1
57,408474,12354,1,0,9802886,9802886,1,0,1
58,496698,8830,1,0,2732561,2732561,1,0,1
59,180010,10101,1,0,6072143,6072143,1,0,1
60,550260,8151,1,0,8707428,8707428,1,0,1
61,101236,8188,1,0,6426535,6426535,1,0,1
62,597753,18432,1,0,1030049,1030049,1,0,1
63,274205,9958,1,0,9865350,9865350,1,0,1
64,371032,8740,1,0,8191479,8191479,1,0,1
65,160127,9024,1,0,6739012,6739012,1,0,1
66,294065,1540,1,0,9476486,9476486,1,0,1
67,548642,8284,1,0,288575,288575,1,0,1
68,494110,14081,1,0,7759864,7759864,1,0,1
69,160100,16928,1,0,476325,476325,1,0,1
70,470424,16309,1,0,6633762,6633762,1,0,1
71,498643,14389,1,0,3762765,3762765,1,0,1
72,365002,8471,1,0,3932395,3932395,1,0,1
73,183971,4981,1,0,9377328,9377328,1,0,1
74,596244,10804,1,0,3351738,3351738,1,0,1
75,21603,5769,1,0,4544830,4544830,1,0,1
76,412032,20666,1,0,174393,174393,1,0,1
77,500008,7965,1,0,9989375,9989375,1,0,1
78,575743,11486,1,0,558902,558902,1,0,1
79,234933,12146,1,0,6926187,6926187,1,0,1
80,496893,12888,1,0,7340566,7340566,1,0,1
81,22703,13812,1,0,7640832,7640832,1,0,1
82,117818,22507,1,0,8055188,8055188,1,0,1
83,231720,13522,1,0,8069324,8069324,1,0,1
84,61034,14934,1,0,8497500,8497500,1,0,1
85,436053,13133,1,0,4215936,4215936,1,0,1
86,269910,14921,1,0,4027328,4027328,1,0,1
87,144792,10583,1,0,6997224,6997224,1,0,1
88,489144,10427,1,0,5973415,5973415,1,0,1
89,262278,13360,1,0,4015165,4015165,1,0,1
90,241950,18766,1,0,7925824,7925824,1,0,1
91,351663,13800,1,0,6661125,6661125,1,0,1
92,299328,12337,1,0,3656018,3656018,1,0,1
93,363666,9077,1,0,6380737,6380737,1,0,1
94,99792,17279,1,0,728187,728187,1,0,1
95,417577,15687,1,0,2229105,2229105,1,0,1
96,103195,15792,1,0,3900803,3900803,1,0,1
97,339208,18501,1,0,5929069,5929069,1,0,1
98,438971,13378,1,0,339646,339646,1,0,1
99,333531,5100,1,0,1510597,1510597,1,0,1
100,290086,18174,1,0,6374588,6374588,1,0,1
101,296424,7674,1,0,3196744,3196744,1,0,1
102,490560,12866,1,0,3060677,3060677,1,0,1
103,571931,8705,1,0,8385620,8385620,1,0,1
104,443324,11997,1,0,6884779,6884779,1,0,1
105,525032,9664,1,0,8525332,8525332,1,0,1
106,429314,14807,1,0,9146788,9146788,1,0,1
107,350689,7948,1,0,7977522,7977522,1,0,1
108,169491,14877,1,0,396355,396355,1,0,1
109,96403,6790,1,0,6399221,6399221,1,0,1
110,93779,9705,1,0,9746652,9746652,1,0,1
111,118351,12161,1,0,3908634,3908634,1,0,1
112,76702,12641,1,0,6506004,6506004,1,0,1
113,314471,12340,1,0,4995067,4995067,1,0,1
114,556613,13404,1,0,1672046,1672046,1,0,1
115,299474,10033,1,0,702673,702673,1,0,1
116,533881,14164,1,0,4122855,4122855,1,0,1
117,313611,11101,1,0,4065803,4065803,1,0,1
118,505102,18565,1,0,7444544,7444544,1,0,1
119,481539,10128,1,0,7253261,7253261,1,0,1
120,603060,15033,1,0,4066158,4066158,1,0,1
121,202415,13041,1,0,924843,924843,1,0,1
122,451474,14214,1,0,2060842,2060842,1,0,1
123,499340,18441,1,0,8797292,8797292,1,0,1
124,589069,12278,1,0,9996064,9996064,1,0,1
125,449112,6971,1,0,6427307,6427307,1,0,1
126,318703,11595,1,0,7148197,7148197,1,0,1
127,523158,8616,1,0,3758122,3758122,1,0,1
128,261335,6985,1,0,9911499,9911499,1,0,1
129,298201,5979,1,0,9892959,9892959,1,0,1
130,180067,10816,1,0,2245538,2245538,1,0,1
131,444072,8370,1,0,1813550,1813550,1,0,1
132,341314,6834,1,0,1979471,1979471,1,0,1
133,882,15942,1,0,2387557,2387557,1,0,1
134,67719,15986,1,0,3537622,3537622,1,0,1
135,505540,11357,1,0,2932357,2932357,1,0,1
136,497820,16247,1,0,6428562,6428562,1,0,1
137,524470,10826,1,0,2323310,2323310,1,0,1
138,17143,17724,1,0,5706614,5706614,1,0,1
139,153158,14154,1,0,2468093,2468093,1,0,1
140,148908,12071,1,0,5196045,5196045,1,0,1
141,65516,8888,1,0,5593775,5593775,1,0,1
142,119797,17338,1,0,5682029,5682029,1,0,1
143,384103,7387,1,0,1101719,1101719,1,0,1
144,171663,16217,1,0,8468714,8468714,1,0,1
145,273367,8158,1,0,7563369,7563369,1,0,1
146,341020,9007,1,0,625255,625255,1,0,1
147,191027,7721,1,0,7560114,7560114,1,0,1
148,144646,18108,1,0,4869979,4869979,1,0,1
149,536065,2683,1,0,7892735,7892735,1,0,1
150,4662,11448,1,0,5901332,5901332,1,0,1
151,12855,14574,1,0,7567375,7567375,1,0,1
152,466424,12200,1,0,8298571,8298571,1,0,1
153,597349,12478,1,0,1781767,1781767,1,0,1
154,500503,9155,1,0,7804448,7804448,1,0,1
155,435748,10874,1,0,2183923,2183923,1,0,1
156,342217,8717,1,0,1346577,1346577,1,0,1
157,397013,15042,1,0,9726990,9726990,1,0,1
158,61329,15944,1,0,4167892,4167892,1,0,1
159,452876,11339,1,0,5541501,5541501,1,0,1
160,256607,11513,1,0,6757318,6757318,1,0,1
