,submit_time,duration,cpu,memory,job_id,task_id,instances_num,disk,priority
0,46888,10840,1,0,6691508,6691508,1,0,2
1,288146,11371,1,0,2136281,2136281,1,0,3
2,106775,12042,1,0,5142715,5142715,1,0,3
3,197331,8330,1,0,9454351,9454351,1,0,3
4,477639,6051,1,0,942035,942035,1,0,5
5,187369,9701,1,0,1961689,1961689,1,0,5
6,18685,6323,1,0,8839057,8839057,1,0,2
7,100299,10398,1,0,6097050,6097050,1,0,3
8,580206,7986,1,0,2919208,2919208,1,0,1
9,37827,11994,1,0,67240,67240,1,0,4
10,144549,10115,1,0,6153953,6153953,1,0,4
11,226602,6664,1,0,5805191,5805191,1,0,2
12,514866,8882,1,0,9162619,9162619,1,0,5
13,48919,6713,1,0,9959615,9959615,1,0,1
14,150120,8121,1,0,5224955,5224955,1,0,4
15,603173,9206,1,0,4882210,4882210,1,0,2
16,376552,7526,1,0,1648088,1648088,1,0,2
17,360018,12790,1,0,8794390,8794390,1,0,4
18,156177,8430,1,0,1076057,1076057,1,0,4
19,436477,9344,1,0,5549052,5549052,1,0,2
20,4408,10779,1,0,6604394,6604394,1,0,1
21,28412,11063,1,0,7078119,7078119,1,0,4
22,448627,8004,1,0,7114407,7114407,1,0,3
23,275068,7911,1,0,5183715,5183715,1,0,2
24,99128,9464,1,0,6922853,6922853,1,0,2
25,182710,6539,1,0,1279626,1279626,1,0,5
26,548180,11111,1,0,1704527,1704527,1,0,5
27,581876,11332,1,0,2527761,2527761,1,0,1
28,431899,12445,1,0,4931997,4931997,1,0,4
29,346008,8351,1,0,5413736,5413736,1,0,5
30,319025,8885,1,0,7042203,7042203,1,0,4
31,602016,7501,1,0,464861,464861,1,0,3
32,415779,7139,1,0,3991535,3991535,1,0,2
33,259943,11805,1,0,9202678,9202678,1,0,3
34,222117,9921,1,0,3089931,3089931,1,0,3
35,347027,8415,1,0,8442919,8442919,1,0,4
36,159177,9949,1,0,6043911,6043911,1,0,2
37,50179,10070,1,0,6649667,6649667,1,0,2
38,250695,9897,1,0,6016285,6016285,1,0,5
39,76639,6863,1,0,1643373,1643373,1,0,3
40,27896,9848,1,0,1576350,1576350,1,0,4
41,91105,7162,1,0,3191874,3191874,1,0,1
42,426000,7353,1,0,335018,335018,1,0,3
43,372216,7068,1,0,8844644,8844644,1,0,4
44,182400,9838,1,0,2511588,2511588,1,0,3
45,273245,7911,1,0,3069615,3069615,1,0,1
46,549947,3819,1,0,5746236,5746236,1,0,3
47,38519,7580,1,0,5527051,5527051,1,0,3
48,265322,7656,1,0,1826744,1826744,1,0,2
49,466398,9417,1,0,5439377,5439377,1,0,3
50,406038,8321,1,0,1725878,1725878,1,0,3
51,83879,11442,1,0,6428454,6428454,1,0,2
52,355099,7649,1,0,4606731,4606731,1,0,3
53,464227,8256,1,0,6210819,6210819,1,0,4
54,92022,8732,1,0,3761984,3761984,1,0,4
55,552774,8236,1,0,248384,248384,1,0,2
56,533226,7825,1,0,835590,835590,1,0,3
57,591994,8535,1,0,6571993,6571993,1,0,2
58,159392,8205,1,0,4380098,4380098,1,0,5
59,71132,12773,1,0,4955031,4955031,1,0,1
60,278912,7269,1,0,8790696,8790696,1,0,4
61,52220,6565,1,0,5862484,5862484,1,0,1
62,396541,12053,1,0,1425445,1425445,1,0,5
63,186587,8601,1,0,6828160,6828160,1,0,3
64,330996,9808,1,0,5013298,5013298,1,0,5
65,81884,6883,1,0,6463960,6463960,1,0,2
66,571462,8856,1,0,2245359,2245359,1,0,2
67,98611,8426,1,0,4612964,4612964,1,0,3
68,91688,7622,1,0,7243616,7243616,1,0,5
69,384282,12009,1,0,4643275,4643275,1,0,5
70,134093,9430,1,0,46729,46729,1,0,5
71,587090,5983,1,0,8255337,8255337,1,0,2
72,54689,12568,1,0,4833232,4833232,1,0,3
73,243582,7825,1,0,3247529,3247529,1,0,4
74,271027,8651,1,0,8948370,8948370,1,0,3
75,471022,6550,1,0,8634219,8634219,1,0,5
76,481973,9433,1,0,341068,341068,1,0,2
77,102291,11896,1,0,3492315,3492315,1,0,2
78,69839,8690,1,0,7951275,7951275,1,0,2
79,214416,8508,1,0,1511712,1511712,1,0,4
80,88482,7382,1,0,4856580,4856580,1,0,3
81,282621,7586,1,0,7938222,7938222,1,0,3
82,235469,7128,1,0,9249925,9249925,1,0,1
83,238074,11381,1,0,3681248,3681248,1,0,4
84,70471,8182,1,0,5622176,5622176,1,0,2
85,177623,8059,1,0,3323774,3323774,1,0,4
86,206708,8295,1,0,8666431,8666431,1,0,4
87,394332,5014,1,0,7339774,7339774,1,0,5
88,550081,7732,1,0,7772447,7772447,1,0,1
89,290098,11257,1,0,6513495,6513495,1,0,4
90,136767,7742,1,0,7679926,7679926,1,0,1
91,48839,7657,1,0,2543135,2543135,1,0,5
92,457549,10746,1,0,5951246,5951246,1,0,4
93,63891,7746,1,0,6509347,6509347,1,0,1
94,401055,4892,1,0,247907,247907,1,0,5
95,251065,9582,1,0,6298911,6298911,1,0,5
96,367995,5955,1,0,7686787,7686787,1,0,5
97,436083,7594,1,0,3645263,3645263,1,0,1
98,256770,8948,1,0,6963024,6963024,1,0,2
99,377115,9926,1,0,4343994,4343994,1,0,3
100,240219,7238,1,0,7332672,7332672,1,0,4
101,574366,7797,1,0,7138463,7138463,1,0,1
102,40171,10051,1,0,424535,424535,1,0,1
103,349479,12465,1,0,246906,246906,1,0,1
104,505039,7202,1,0,3099193,3099193,1,0,1
105,546433,8029,1,0,6904037,6904037,1,0,3
106,173098,7032,1,0,3039078,3039078,1,0,3
107,583993,11177,1,0,8143670,8143670,1,0,1
108,459485,6849,1,0,7290749,7290749,1,0,2
109,151383,11783,1,0,5300729,5300729,1,0,4
110,174323,10228,1,0,5963019,5963019,1,0,5
111,421892,6702,1,0,1172221,1172221,1,0,2
112,299263,7758,1,0,9514204,9514204,1,0,1
113,337759,5817,1,0,2832705,2832705,1,0,1
114,201509,9547,1,0,3331871,3331871,1,0,3
115,468541,8828,1,0,1837529,1837529,1,0,2
116,565052,6402,1,0,7956195,7956195,1,0,3
117,570870,9070,1,0,1916061,1916061,1,0,1
118,298119,8836,1,0,3211220,3211220,1,0,1
119,78255,8565,1,0,3454261,3454261,1,0,3
120,453966,6273,1,0,2368339,2368339,1,0,2
121,16545,7993,1,0,9714156,9714156,1,0,4
122,557522,7811,1,0,8165681,8165681,1,0,4
123,124775,7145,1,0,8608663,8608663,1,0,2
124,145737,7041,1,0,3058887,3058887,1,0,5
125,137563,9503,1,0,5957337,5957337,1,0,5
126,368104,8521,1,0,7588499,7588499,1,0,2
127,341705,9751,1,0,9612247,9612247,1,0,4
128,444529,7697,1,0,8140143,8140143,1,0,5
129,249274,11830,1,0,6122531,6122531,1,0,3
130,369521,7015,1,0,1334949,1334949,1,0,4
131,372436,8714,1,0,9126433,9126433,1,0,2
132,600293,8014,1,0,381113,381113,1,0,1
133,540698,14302,1,0,9680088,9680088,1,0,3
134,140735,9705,1,0,9737040,9737040,1,0,5
135,193149,10367,1,0,5686560,5686560,1,0,2
136,90799,11082,1,0,9495361,9495361,1,0,5
137,141282,8545,1,0,2180249,2180249,1,0,2
138,388226,7816,1,0,8635564,8635564,1,0,1
139,436461,8018,1,0,9784902,9784902,1,0,3
140,438804,7611,1,0,7227701,7227701,1,0,5
141,433010,9289,1,0,4381619,4381619,1,0,5
142,18582,8681,1,0,7729020,7729020,1,0,2
143,534763,9676,1,0,8855780,8855780,1,0,2
144,243341,7334,1,0,3935188,3935188,1,0,1
145,258589,8213,1,0,3228721,3228721,1,0,2
146,500335,9521,1,0,3105171,3105171,1,0,4
147,553778,6405,1,0,9709592,9709592,1,0,5
148,55367,8451,1,0,448917,448917,1,0,5
149,178465,7440,1,0,5329242,5329242,1,0,2
150,491169,12380,1,0,4143766,4143766,1,0,5
151,107344,8353,1,0,233307,233307,1,0,1
152,296246,7574,1,0,7282723,7282723,1,0,2
153,139931,10749,1,0,9146216,9146216,1,0,4
154,556061,9352,1,0,3464679,3464679,1,0,1
155,63030,9588,1,0,468845,468845,1,0,1
156,309121,8997,1,0,3433752,3433752,1,0,3
157,94263,10265,1,0,45960,45960,1,0,1
158,122269,7230,1,0,4850622,4850622,1,0,1
159,590171,9382,1,0,8420818,8420818,1,0,2
160,525826,7424,1,0,5738906,5738906,1,0,3
161,419511,8498,1,0,7833320,7833320,1,0,2
162,331200,9752,1,0,8938513,8938513,1,0,1
163,88228,8338,1,0,8529620,8529620,1,0,3
164,43496,9771,1,0,9874411,9874411,1,0,3
165,457943,10328,1,0,9657,9657,1,0,4
166,543552,9979,1,0,1607026,1607026,1,0,3
167,359753,4885,1,0,3391282,3391282,1,0,4
168,297486,8981,1,0,638985,638985,1,0,4
169,310589,11855,1,0,1361371,1361371,1,0,3
170,270303,9853,1,0,1729630,1729630,1,0,5
171,290235,10706,1,0,1939623,1939623,1,0,1
172,156329,9030,1,0,6626678,6626678,1,0,5
173,590506,8441,1,0,8932325,8932325,1,0,3
174,252000,8011,1,0,4216265,4216265,1,0,1
175,525851,10160,1,0,1146603,1146603,1,0,5
176,513748,9483,1,0,7771444,7771444,1,0,5
